中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.67.249.123,443,152.67.249.123,US,San Jose,中转,52 ms,125 Mbps,16076 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,50 ms,468 Mbps,60006 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,100 ms,210 Mbps,26931 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,41 Mbps,5325 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,960 Mbps,122880 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,49 ms,45 Mbps,5822 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,351 Mbps,44953 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,49 ms,418 Mbps,53555 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,20 ms,752 Mbps,96358 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,336 Mbps,43008 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,51 ms,474 Mbps,60723 kB/s
192.9.138.241,443,192.9.138.241,413 Mbps,52940 kB/s
141.147.26.198,443,2a0b:21c0:100a:1b6:0:cf04:1f0:71ee,DE,Frankfurt,隧道,110 ms,96 Mbps,12390 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,98 ms,47 Mbps,6033 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,30 ms,558 Mbps,71475 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,214 Mbps,27443 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,52 ms,52 Mbps,6735 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,52 ms,58 Mbps,7425 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,408 Mbps,52326 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,17 ms,0 Mbps,119 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,378 Mbps,48435 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,51 ms,472 Mbps,60518 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,102 ms,53 Mbps,6784 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,100 ms,191 Mbps,24473 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,55 ms,1 Mbps,186 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,24 ms,83 Mbps,10649 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,50 ms,452 Mbps,57856 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,166 ms,86 Mbps,11059 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,109 ms,170 Mbps,21811 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,245 Mbps,31436 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,57 ms,45 Mbps,5835 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,53 ms,46 Mbps,5930 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,181 ms,105 Mbps,13516 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,140 ms,116 Mbps,14950 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,122 ms,200 Mbps,25702 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,63 ms,435 Mbps,55705 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,171 ms,49 Mbps,6376 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,192 Mbps,24678 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,103 ms,194 Mbps,24883 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,190 ms,31 Mbps,4017 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,169 ms,100 Mbps,12800 kB/s
193.122.4.221,443,2a0b:21c0:1007:c9:0:8d05:e98f:cff6,DE,Frankfurt,隧道,109 ms,179 Mbps,22937 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,49 ms,424 Mbps,54374 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,113 ms,156 Mbps,20070 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,131 ms,3 Mbps,414 kB/s
141.147.93.72,443,163.123.193.8,DE,Frankfurt,隧道,113 ms,182 Mbps,23347 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,115 ms,26 Mbps,3338 kB/s
141.148.220.141,443,2a09:bac1:36a0:18::243:6,IN,Mumbai,隧道,225 ms,19 Mbps,2542 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,215 ms,34 Mbps,4404 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,199 ms,30 Mbps,3896 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,166 ms,35 Mbps,4572 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,164 ms,92 Mbps,11878 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,163 ms,94 Mbps,12083 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,240 ms,0 Mbps,102 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,189 ms,2 Mbps,308 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,238 ms,36 Mbps,4682 kB/s
143.47.229.149,443,2a0b:21c0:1007:1cb:0:7c1e:52b0:5198,DE,Frankfurt,隧道,175 ms,128 Mbps,16486 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,208 ms,2 Mbps,360 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,208 ms,30 Mbps,3911 kB/s
