中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
3.138.59.154,443,3.13.180.72,US,,隧道,69 ms,795 Mbps,101785 kB/s,101785.0
34.69.150.180,443,34.69.150.180,US,,中转,38 ms,782 Mbps,100147 kB/s,100147.0
35.183.163.195,443,15.222.1.160,CA,,隧道,21 ms,766 Mbps,98099 kB/s,98099.0
198.46.193.167,443,198.46.193.167,US,Dallas,中转,25 ms,693 Mbps,88780 kB/s,88780.0
18.191.122.211,443,3.13.180.72,US,,隧道,22 ms,677 Mbps,86732 kB/s,86732.0
3.144.191.4,443,3.144.191.4,US,Chicago,中转,21 ms,617 Mbps,79052 kB/s,79052.0
34.148.187.247,443,34.148.187.247,US,,中转,99 ms,528 Mbps,67584 kB/s,67584.0
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,117 ms,472 Mbps,60416 kB/s,60416.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,85 ms,456 Mbps,58368 kB/s,58368.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,53 ms,432 Mbps,55398 kB/s,55398.0
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,56 ms,424 Mbps,54272 kB/s,54272.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,50 ms,419 Mbps,53657 kB/s,53657.0
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,417 Mbps,53452 kB/s,53452.0
107.172.98.6,443,107.172.98.6,US,San Jose,中转,51 ms,416 Mbps,53350 kB/s,53350.0
47.253.56.77,443,47.253.56.77,US,Ashburn,中转,59 ms,413 Mbps,52940 kB/s,52940.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,412 Mbps,52838 kB/s,52838.0
192.9.138.241,443,192.9.138.241,US,San Jose,中转,104 ms,409 Mbps,52428 kB/s,52428.0
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,62 ms,405 Mbps,51916 kB/s,51916.0
35.230.79.26,443,34.19.126.64,US,Seattle,隧道,83 ms,398 Mbps,50995 kB/s,50995.0
165.1.65.75,443,165.1.65.75,US,San Jose,中转,51 ms,398 Mbps,50995 kB/s,50995.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,67 ms,393 Mbps,50380 kB/s,50380.0
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,113 ms,387 Mbps,49561 kB/s,49561.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,60 ms,376 Mbps,48230 kB/s,48230.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,373 Mbps,47820 kB/s,47820.0
150.230.47.17,443,150.230.47.17,US,San Jose,中转,52 ms,368 Mbps,47206 kB/s,47206.0
44.224.24.91,443,44.224.24.91,US,,中转,69 ms,348 Mbps,44544 kB/s,44544.0
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,104 ms,344 Mbps,44032 kB/s,44032.0
44.230.218.23,443,54.212.217.183,US,,隧道,59 ms,325 Mbps,41676 kB/s,41676.0
204.110.220.3,443,204.110.220.19,US,,隧道,58 ms,318 Mbps,40755 kB/s,40755.0
54.203.85.46,443,204.110.220.54,US,,隧道,101 ms,315 Mbps,40345 kB/s,40345.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,303 Mbps,38809 kB/s,38809.0
132.145.134.230,443,132.145.134.230,US,,中转,50 ms,279 Mbps,35737 kB/s,35737.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,62 ms,275 Mbps,35225 kB/s,35225.0
141.147.74.20,443,141.147.74.20,GB,London,中转,95 ms,233 Mbps,29900 kB/s,29900.0
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,106 ms,208 Mbps,26726 kB/s,26726.0
18.159.105.97,443,3.68.128.205,DE,,隧道,107 ms,204 Mbps,26214 kB/s,26214.0
141.147.60.51,443,2606:f240:f00:6acf:0:753a:3a8e:a6f8,US,Frankfurt,隧道,107 ms,202 Mbps,25907 kB/s,25907.0
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,200 Mbps,25600 kB/s,25600.0
144.24.177.198,443,2606:f240:f00:5a42:0:67fd:9b01:9058,US,Frankfurt,隧道,157 ms,199 Mbps,25497 kB/s,25497.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,198 Mbps,25395 kB/s,25395.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,198 Mbps,25395 kB/s,25395.0
35.157.240.237,443,3.68.128.205,DE,,隧道,108 ms,197 Mbps,25292 kB/s,25292.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,232 ms,196 Mbps,25190 kB/s,25190.0
141.147.72.164,443,2606:f240:f00:2be4:0:2974:3e09:dcf6,US,Frankfurt,隧道,112 ms,196 Mbps,25088 kB/s,25088.0
18.130.168.34,443,18.130.168.34,GB,,中转,97 ms,192 Mbps,24678 kB/s,24678.0
130.61.114.171,443,130.61.114.171,DE,Frankfurt,中转,106 ms,184 Mbps,23654 kB/s,23654.0
141.147.34.162,443,2606:f240:f00:6acf:0:cff9:d7f6:3b31,US,Frankfurt,隧道,107 ms,184 Mbps,23552 kB/s,23552.0
130.162.180.21,443,2606:f240:f00:dd8d:0:c7d5:59de:5c64,US,Frankfurt,隧道,164 ms,184 Mbps,23552 kB/s,23552.0
141.147.51.21,443,141.147.51.21,DE,,中转,106 ms,183 Mbps,23449 kB/s,23449.0
3.66.115.225,443,3.68.128.205,DE,,隧道,109 ms,179 Mbps,22937 kB/s,22937.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,106 ms,178 Mbps,22835 kB/s,22835.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,172 Mbps,22118 kB/s,22118.0
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,117 ms,171 Mbps,21913 kB/s,21913.0
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,97 ms,171 Mbps,21913 kB/s,21913.0
150.230.116.1,443,2606:f240:f00:b2ed:0:f4e2:b2a0:a8c,US,Frankfurt,隧道,164 ms,169 Mbps,21708 kB/s,21708.0
3.67.232.136,443,3.68.128.205,DE,,隧道,108 ms,168 Mbps,21504 kB/s,21504.0
18.185.254.189,443,3.68.128.205,DE,,隧道,109 ms,167 Mbps,21401 kB/s,21401.0
3.68.62.122,443,3.68.128.205,DE,,隧道,107 ms,167 Mbps,21401 kB/s,21401.0
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,165 Mbps,21196 kB/s,21196.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,106 ms,164 Mbps,21094 kB/s,21094.0
130.162.34.70,443,2606:f240:f00:b2ed:0:e2d6:ff27:4715,US,Frankfurt,隧道,106 ms,164 Mbps,20992 kB/s,20992.0
18.192.93.64,443,3.68.128.205,DE,,隧道,111 ms,162 Mbps,20787 kB/s,20787.0
129.146.2.27,443,129.146.2.27,US,Los Angeles,中转,55 ms,144 Mbps,18534 kB/s,18534.0
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,133 ms,137 Mbps,17612 kB/s,17612.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,222 ms,125 Mbps,16076 kB/s,16076.0
144.21.51.110,443,144.21.51.110,GB,London,中转,94 ms,121 Mbps,15564 kB/s,15564.0
144.24.191.239,443,2a0b:21c0:100a:1b0:0:3cab:9295:de98,DE,Frankfurt,隧道,106 ms,118 Mbps,15155 kB/s,15155.0
47.91.77.31,443,2a0b:21c0:100a:1b3:0:ce7e:6fb6:f584,DE,Frankfurt,隧道,196 ms,115 Mbps,14745 kB/s,14745.0
18.236.13.188,443,204.110.220.101,US,,隧道,65 ms,113 Mbps,14540 kB/s,14540.0
8.211.36.127,443,2a0b:21c0:100a:1b5:0:80d8:c971:fd7,DE,Frankfurt,隧道,174 ms,109 Mbps,14028 kB/s,14028.0
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,174 ms,108 Mbps,13926 kB/s,13926.0
