中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.196.40,443,198.23.196.40,US,Toronto,中转,52 ms,519 Mbps,66457 kB/s
198.46.188.190,443,2a09:bac1:76a0:118::c7:19,US,Buffalo,隧道,35 ms,80 Mbps,10240 kB/s
3.97.14.70,443,3.97.14.70,CA,Montréal,中转,30 ms,628 Mbps,80384 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,52 ms,393 Mbps,50380 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,51 ms,421 Mbps,53964 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,302 Mbps,38707 kB/s
192.18.150.121,443,2a09:bac1:14e0:248::2ac:2c,CA,Toronto,隧道,15 ms,352 Mbps,45158 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,392 Mbps,50278 kB/s
192.3.253.176,443,192.3.253.176,US,Seattle,中转,56 ms,345 Mbps,44236 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,53 ms,417 Mbps,53452 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,52 ms,349 Mbps,44748 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,42 ms,32 Mbps,4207 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,51 ms,448 Mbps,57446 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,56 ms,47 Mbps,6109 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,49 ms,456 Mbps,58368 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,37 ms,539 Mbps,69017 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,112 ms,354 Mbps,45363 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,176 ms,240 Mbps,30822 kB/s
198.12.97.48,443,198.12.97.48,US,Chicago,中转,45 ms,446 Mbps,57139 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,207 Mbps,26521 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,42 ms,415 Mbps,53145 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,22 ms,681 Mbps,87244 kB/s
35.197.23.75,443,35.197.107.113,US,Seattle,隧道,55 ms,429 Mbps,54988 kB/s
192.210.175.20,443,192.210.175.20,NL,Amsterdam,中转,98 ms,30 Mbps,3959 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,96 ms,69 Mbps,8938 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,53 ms,49 Mbps,6312 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,93 ms,356 Mbps,45568 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,106 ms,136 Mbps,17510 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,140 ms,393 Mbps,50380 kB/s
35.230.79.26,443,35.197.107.113,US,Seattle,隧道,51 ms,45 Mbps,5782 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,168 Mbps,21606 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,105 ms,42 Mbps,5420 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,187 Mbps,23961 kB/s
13.57.182.91,443,2a09:bac5:6442:28::4:265,US,San Jose,隧道,69 ms,300 Mbps,38502 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,195 Mbps,24985 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,121 ms,50 Mbps,6409 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,124 Mbps,15872 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,185 ms,96 Mbps,12390 kB/s
8.219.170.180,443,8.219.170.180,SG,Singapore,中转,250 ms,56 Mbps,7198 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,255 ms,25 Mbps,3278 kB/s
8.219.140.63,443,8.219.140.63,SG,Singapore,中转,252 ms,58 Mbps,7514 kB/s
8.222.225.193,443,8.222.225.193,SG,Singapore,中转,250 ms,5 Mbps,698 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,208 ms,2 Mbps,351 kB/s
13.250.22.76,443,2406:da18:618:7e00:ce20:ada8:8c3b:960a,SG,Singapore,隧道,209 ms,2 Mbps,352 kB/s
47.236.12.195,443,47.236.12.195,SG,Singapore,中转,251 ms,54 Mbps,7008 kB/s
