中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,48 Mbps,6196 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,72 ms,256 Mbps,32768 kB/s
35.197.23.75,443,35.197.106.247,US,Seattle,隧道,67 ms,307 Mbps,39321 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,261 Mbps,33484 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,76 ms,256 Mbps,32768 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,156 ms,99 Mbps,12697 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,56 ms,704 Mbps,90112 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,72 ms,36 Mbps,4724 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,14 ms,32 Mbps,4154 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,243 Mbps,31129 kB/s
138.3.254.39,443,138.3.254.39,DE,228 Mbps,29286 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,8 ms,389 Mbps,49868 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,85 ms,242 Mbps,31027 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,307 Mbps,39321 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,87 ms,410 Mbps,52531 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,269 Mbps,34508 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,228 Mbps,29184 kB/s
198.46.188.190,443,2a09:bac1:76e0:118::c7:e,US,Buffalo,隧道,29 ms,92 Mbps,11776 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,64 ms,46 Mbps,5894 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,220 Mbps,28262 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,127 ms,9 Mbps,1154 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,88 ms,8 Mbps,1149 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,275 Mbps,35225 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,259 Mbps,33177 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,50 Mbps,6501 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,49 ms,490 Mbps,62771 kB/s
34.147.28.91,443,98.98.166.186,AE,Frankfurt,隧道,92 ms,224 Mbps,28774 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,162 ms,294 Mbps,37683 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,92 ms,303 Mbps,38809 kB/s
35.198.83.144,443,2a0b:21c0:1007:cb:0:c797:7b43:2a36,DE,Frankfurt,隧道,172 ms,170 Mbps,21811 kB/s
35.230.79.26,443,35.197.106.247,US,Seattle,隧道,73 ms,328 Mbps,41984 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,244 Mbps,31334 kB/s
34.118.80.175,443,2a0b:21c0:100a:1f9:0:9057:726d:1063,DE,Frankfurt,隧道,105 ms,116 Mbps,14950 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,263 Mbps,33689 kB/s
8.209.105.64,443,2a0b:21c0:100a:1f9:0:2629:f41e:556f,DE,Frankfurt,隧道,93 ms,135 Mbps,17305 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,88 ms,42 Mbps,5387 kB/s
146.70.175.104,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,86 ms,60 Mbps,7697 kB/s
146.70.175.171,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,101 ms,55 Mbps,7127 kB/s
146.70.175.183,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,81 ms,198 Mbps,25395 kB/s
146.70.175.118,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,85 ms,224 Mbps,28672 kB/s
146.70.175.112,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,83 ms,184 Mbps,23654 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,65 ms,127 Mbps,16281 kB/s
13.57.182.91,443,2a09:bac5:6447:28::4:256,US,San Jose,隧道,86 ms,241 Mbps,30924 kB/s
144.22.252.124,443,144.22.252.124,BR,S
