中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,28 ms,397 Mbps,50892 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,42 ms,625 Mbps,80076 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,17 ms,63 Mbps,8128 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,69 ms,301 Mbps,38604 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,74 ms,381 Mbps,48844 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,320 Mbps,40960 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,105 ms,228 Mbps,29286 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,27 ms,756 Mbps,96870 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,95 ms,258 Mbps,33075 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,90 ms,23 Mbps,2954 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,28 ms,61 Mbps,7836 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,71 ms,363 Mbps,46489 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,98 ms,46 Mbps,5943 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,277 Mbps,35532 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,304 Mbps,39014 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,83 ms,40 Mbps,5122 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,103 ms,249 Mbps,31948 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,76 ms,320 Mbps,40960 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,182 Mbps,23347 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,3 ms,85 Mbps,10956 kB/s
143.47.245.250,443,2a0b:21c0:100a:1b1:0:183c:7da3:2697,DE,Frankfurt,隧道,96 ms,247 Mbps,31641 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,207 Mbps,26521 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,84 ms,360 Mbps,46080 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,105 ms,232 Mbps,29696 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,82 ms,299 Mbps,38297 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,102 ms,43 Mbps,5619 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,29 ms,69 Mbps,8839 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,176 ms,123 Mbps,15769 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,78 ms,433 Mbps,55500 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,90 ms,446 Mbps,57139 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,127 ms,164 Mbps,21094 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,64 ms,327 Mbps,41881 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,82 ms,239 Mbps,30617 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,101 ms,226 Mbps,28979 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,103 ms,45 Mbps,5786 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,108 ms,48 Mbps,6246 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,227 ms,68 Mbps,8828 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,46 ms,6 Mbps,816 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,224 ms,39 Mbps,5027 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,100 ms,117 Mbps,15052 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,229 ms,2 Mbps,303 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,231 ms,61 Mbps,7926 kB/s
130.162.144.191,443,2a09:bac5:4753:1482::20b:48,KR,Seoul,隧道,198 ms,27 Mbps,3492 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,215 ms,35 Mbps,4605 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,224 ms,33 Mbps,4343 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,249 ms,63 Mbps,8178 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,84 ms,466 Mbps,59699 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,199 ms,1 Mbps,154 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,112 ms,254 Mbps,32563 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,199 ms,40 Mbps,5236 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,197 ms,81 Mbps,10444 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,209 ms,39 Mbps,5030 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,212 ms,96 Mbps,12390 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,78 ms,19 Mbps,2479 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,111 ms,213 Mbps,27340 kB/s
8.218.73.41,443,8.218.73.41,HK,Hong Kong,中转,232 ms,80 Mbps,10240 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,214 ms,4 Mbps,637 kB/s
8.219.192.7,443,47.245.125.52,SG,Singapore,隧道,257 ms,66 Mbps,8509 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,108 ms,51 Mbps,6651 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,243 ms,56 Mbps,7255 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,261 ms,56 Mbps,7173 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,219 ms,4 Mbps,568 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,229 ms,29 Mbps,3796 kB/s
8.212.48.236,443,47.76.21.99,HK,Hong Kong,隧道,251 ms,0 Mbps,4 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,224 ms,57 Mbps,7374 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,209 ms,26 Mbps,3378 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,261 ms,84 Mbps,10854 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,267 ms,17 Mbps,2199 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,82 ms,0 Mbps,14 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,30 ms,59 Mbps,7658 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,70 ms,81 Mbps,10444 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,228 ms,92 Mbps,11776 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,133 ms,43 Mbps,5505 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,61 ms,21 Mbps,2713 kB/s
