中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,18 ms,511 Mbps,65433 kB/s,65433.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,29 ms,403 Mbps,51609 kB/s,51609.0
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,75 ms,221 Mbps,28364 kB/s,28364.0
192.18.134.231,443,192.18.134.231,US,Denver,中转,91 ms,208 Mbps,26624 kB/s,26624.0
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,113 ms,206 Mbps,26419 kB/s,26419.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,101 ms,204 Mbps,26112 kB/s,26112.0
129.146.243.241,443,129.146.243.241,US,Los Angeles,中转,67 ms,199 Mbps,25497 kB/s,25497.0
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,87 ms,193 Mbps,24780 kB/s,24780.0
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,77 ms,190 Mbps,24371 kB/s,24371.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,87 ms,183 Mbps,23449 kB/s,23449.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,27 ms,181 Mbps,23244 kB/s,23244.0
192.9.146.103,443,192.9.146.103,US,Denver,中转,85 ms,155 Mbps,19865 kB/s,19865.0
158.101.212.88,443,2a0b:21c0:1007:1c7:0:9651:29c0:fc38,DE,Frankfurt,隧道,97 ms,152 Mbps,19456 kB/s,19456.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,89 ms,151 Mbps,19353 kB/s,19353.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,140 Mbps,17920 kB/s,17920.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,136 Mbps,17510 kB/s,17510.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,131 Mbps,16793 kB/s,16793.0
